#this format is:
#index t X V
257 2.56 7.91880641412 1.28064141154
258 2.57 7.92744884664 0.844884664083
259 2.58 7.93120009029 0.420009029215
260 2.59 7.93104653305 0.00465330539555
261 2.6 7.92688384964 -0.411615036156
262 2.61 7.91869632061 -0.830367939168
263 2.62 7.90685731738 -1.21426826224
264 2.63 7.89092687355 -1.60731264453
265 2.64 7.87128129166 -1.9718708342
266 2.65 7.84785449188 -2.31455081163
267 2.66 7.82155580466 -2.64441953389
268 2.67 7.79255340307 -2.9446596927
269 2.68 7.76056371997 -3.24362800296
270 2.69 7.72583077278 -3.51692272243
271 2.7 7.68854262047 -3.74573795327
272 2.71 7.64944229913 -3.95577008702
273 2.72 7.60768490422 -4.13150957786
274 2.73 7.56514593772 -4.2854062277
275 2.74 7.52048707575 -4.45129242505
276 2.75 7.47470074095 -4.52992590538
277 2.76 7.42902288234 -4.59771176578
278 2.77 7.38269257093 -4.63074290676
279 2.78 7.33664445876 -4.63555412417
280 2.79 7.29061032432 -4.63896756762
281 2.8 7.24482307811 -4.61769218924
282 2.81 7.19928311423 -4.57168857727
283 2.82 7.15372237652 -4.52776234828
284 2.83 7.10963139964 -4.4368600358
285 2.84 7.06653333604 -4.34666639621
286 2.85 7.02453119427 -4.24688057343
287 2.86 6.98349757117 -4.15024288332
288 2.87 6.94266375188 -4.03362481215
289 2.88 6.90401511199 -3.89848880054
290 2.89 6.86660980008 -3.73901999164
291 2.9 6.83118516811 -3.58148318877
292 2.91 6.79685987149 -3.41401285081
293 2.92 6.76437194625 -3.26280537516
294 2.93 6.73293989304 -3.10601069577
295 2.94 6.70363888943 -2.93611105716
296 2.95 6.67635188621 -2.76481137858
297 2.96 6.65018855932 -2.58114406771
298 2.97 6.62609024761 -2.39097523943
299 2.98 6.60356601668 -2.24339833177
300 2.99 6.58319893552 -2.080106448
301 3.0 6.5640693619 -1.89306381005
302 3.01 6.54669854455 -1.730145545
303 3.02 6.53149148558 -1.55085144229
304 3.03 6.5172543869 -1.37456130957
305 3.04 6.50487455792 -1.21254420807
306 3.05 6.49470035283 -1.02996471692
307 3.06 6.48637749738 -0.862250262436
308 3.07 6.47885368809 -0.714631191155
309 3.08 6.47356025193 -0.543974807238
310 3.09 6.4703249738 -0.367502620396
311 3.1 6.4682695038 -0.173049620205
312 3.11 6.467970198 -0.00298020033497
313 3.12 6.4698748953 0.187489529873
314 3.13 6.4737024488 0.370244879706
315 3.14 6.47892411428 0.492411428431
316 3.15 6.48543832079 0.643832078746
317 3.16 6.49303864433 0.803864432656
318 3.17 6.50298841412 0.998841411807
319 3.18 6.51451227795 1.15122779512
320 3.19 6.52812711154 1.31271115377
321 3.2 6.54260356363 1.46035636278
322 3.21 6.55890306607 1.59030660659
323 3.22 6.57643067525 1.74306752506
324 3.23 6.59496998397 1.8969983974
325 3.24 6.61534703351 2.03470335114
326 3.25 6.63683058276 2.18305827564
327 3.26 6.66031047417 2.33104741677
328 3.27 6.68471531083 2.47153108318
329 3.28 6.71086985846 2.58698584561
330 3.29 6.7379252736 2.6925273604
331 3.3 6.76585575929 2.78557592902
332 3.31 6.79499122875 2.89912287542
333 3.32 6.82490250038 2.99025003791
334 3.33 6.85579950003 3.07995000294
335 3.34 6.88779376867 3.17937686676
336 3.35 6.92032697557 3.23269755661
337 3.36 6.95300574734 3.3005747342
338 3.37 6.98671422243 3.3714222425
339 3.38 7.02123710773 3.42371077311
340 3.39 7.05576200528 3.47620052831
341 3.4 7.0910423778 3.50423777981
342 3.41 7.12598680211 3.49868021095
343 3.42 7.1608956124 3.48956123966
344 3.43 7.1959566741 3.49566740995
345 3.44 7.23087817492 3.48781749218
346 3.45 7.26563989525 3.46398952494
347 3.46 7.30003373817 3.4033738175
348 3.47 7.33353589756 3.35358975552
349 3.48 7.36671255806 3.27125580645
350 3.49 7.39906085712 3.20608571246
351 3.5 7.4300430546 3.10430545959
352 3.51 7.4599623427 2.99623426985
353 3.52 7.48872372835 2.87237283505
354 3.53 7.51627863736 2.72786373561
355 3.54 7.54168368032 2.56836803176
356 3.55 7.56591436917 2.39143691666
357 3.56 7.58822082906 2.22208290583
358 3.57 7.60819215997 2.0192159968
359 3.58 7.62603368259 1.80336825867
360 3.59 7.64164904754 1.56490475417
361 3.6 7.65538647125 1.3386471255
362 3.61 7.66608625276 1.10862527555
363 3.62 7.67472453956 0.872453955977
364 3.63 7.68133587648 0.633587648231
365 3.64 7.68494440917 0.394440916508
366 3.65 7.68682779577 0.182779576777
367 3.66 7.68648454779 -0.0515452208681
368 3.67 7.68308157657 -0.291842343443
369 3.68 7.67772388107 -0.527611893117
370 3.69 7.6706359658 -0.736403419658
371 3.7 7.6613330518 -0.966694819959
372 3.71 7.64922333864 -1.17766613571
373 3.72 7.63491438171 -1.40856182907
374 3.73 7.61911796217 -1.58820378326
375 3.74 7.60130082691 -1.76991730899
376 3.75 7.58145656734 -1.95434326617
377 3.76 7.5602132579 -2.07867420953
378 3.77 7.53806852586 -2.19314741393
379 3.78 7.51488967805 -2.31103219478
380 3.79 7.49062973803 -2.43702619706
381 3.8 7.465520078 -2.54799219973
382 3.81 7.4394754756 -2.65245243978
383 3.82 7.41191440623 -2.7085593772
384 3.83 7.38437746862 -2.76225313836
385 3.84 7.35566935725 -2.83306427491
386 3.85 7.32764732157 -2.83526784307
387 3.86 7.29952510208 -2.84748979208
388 3.87 7.27148276325 -2.85172367488
389 3.88 7.2426238618 -2.8376138201
